date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:00	13211/13211	---MC-	200	added ('OK')	image/png	etag:%22cda3f47fe66a5f24dc127be5eea7ea17%22	https://framerusercontent.com/images/QnopxkbXtjnzhK4boOIPTqmbUE.png?width=355&height=496	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/QnopxkbXtjnzhK4boOIPTqmbUE699c.png	(from https://generous-topic-543890.framer.app/)
21:31:00	13751/13751	---MC-	200	added ('OK')	image/png	etag:%224f421607349625ea41b8dce41a83abca%22	https://framerusercontent.com/images/xWZZLYPqVy9je4YqhEi2QxqOnA.png?width=190&height=190	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/xWZZLYPqVy9je4YqhEi2QxqOnAef9c.png	(from https://generous-topic-543890.framer.app/)
21:31:01	175295/175295	---M-Z	200	added ('OK')	text/html	etag:%22a9bb1281639af796a76ffe9f835c25a0%22	https://generous-topic-543890.framer.app/product	C:/My%20Web%20Sites/barcoded/generous-topic-543890.framer.app/product.html	(from https://generous-topic-543890.framer.app/)
21:31:01	161057/161057	---M-Z	200	added ('OK')	text/html	etag:%22511f27bc063a0f269444d099e0f41a78%22	https://generous-topic-543890.framer.app/about	C:/My%20Web%20Sites/barcoded/generous-topic-543890.framer.app/about.html	(from https://generous-topic-543890.framer.app/)
21:31:02	125462/125462	---M-Z	404	error ('Not%20Found')	text/html	etag:%22009680daf99dac6047bf408313851235%22	https://generous-topic-543890.framer.app/404	C:/My%20Web%20Sites/barcoded/generous-topic-543890.framer.app/404.c.delayed	(from https://generous-topic-543890.framer.app/)
21:31:03	107162/107162	---MC-	200	added ('OK')	image/png	etag:%221efb0eeaeded6c9deda9e4ad4accb970%22	https://framerusercontent.com/images/PSKqjpc6FfuR0lsxCxFUMhqTOwE.png?width=1669&height=1158	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/PSKqjpc6FfuR0lsxCxFUMhqTOwE270c.png	(from https://generous-topic-543890.framer.app/product)
21:31:03	6864/6864	---MC-	200	added ('OK')	image/png	etag:%22a63e62b39ec24976ddb58eb1d04d50be%22	https://framerusercontent.com/images/7ulwwTQdpcCYxz517Yu6SQQYoA.png?width=443&height=287	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/7ulwwTQdpcCYxz517Yu6SQQYoA10a9.png	(from https://generous-topic-543890.framer.app/product)
21:31:03	5780/5780	---MC-	200	added ('OK')	image/png	etag:%22f82307cd1eec503b354af098bcf24d91%22	https://framerusercontent.com/images/2QxlVTnmTt9Svj8QSZfdqYzEoxU.png?width=467&height=252	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/2QxlVTnmTt9Svj8QSZfdqYzEoxU0bf9.png	(from https://generous-topic-543890.framer.app/product)
21:31:04	5218/5218	---MC-	200	added ('OK')	image/png	etag:%2220c8bfb89588d166d924090ac2e1f78a%22	https://framerusercontent.com/images/kAo4aMK8x71HKV3Wft4ehOGztE.png?width=441&height=353	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/kAo4aMK8x71HKV3Wft4ehOGztEe20c.png	(from https://generous-topic-543890.framer.app/product)
21:31:04	278973/278973	---MC-	200	added ('OK')	image/jpeg	etag:%2233c51f691518b1b3aae963576ca4b12a%22	https://framerusercontent.com/images/3zTlCbZa07nJD4vwXDJlHJpJRE.jpg?width=1920&height=1440	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/3zTlCbZa07nJD4vwXDJlHJpJRE98cd.jpg	(from https://generous-topic-543890.framer.app/about)
21:31:05	50639/50639	---MC-	200	added ('OK')	image/png	etag:%22d3aa583e7fec9170892849fa0ed33521%22	https://framerusercontent.com/images/1Dy88Euh06uaAt2nNar8JUGU4.jpg?width=335&height=349	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/1Dy88Euh06uaAt2nNar8JUGU4af7e.png	(from https://generous-topic-543890.framer.app/about)
21:31:06	90989/90989	---MC-	200	added ('OK')	image/png	etag:%220cccf4841f6a6b8e6fea946074b28411%22	https://framerusercontent.com/images/Y4LtWqEAe3ujz5a2p5A3TFhMrSE.jpg?scale-down-to=512&width=747&height=808	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/Y4LtWqEAe3ujz5a2p5A3TFhMrSEa1b0.png	(from https://generous-topic-543890.framer.app/about)
